Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
29.5,79.0,126.0,29.67222,77.66721,119.41645
27.4,78.3,54.0,27.489517,77.52262,166.3867
23.8,88.6,0.0,23.663166,88.252625,0.0
29.5,72.5,0.0,29.53303,71.20124,10.947797
32.6,65.1,687.0,32.465576,65.01133,687.0252
26.2,83.3,0.0,26.12749,83.64294,0.0
25.7,85.7,0.0,26.120676,84.42963,0.0
28.1,72.4,563.0,28.040844,72.994705,549.91925
26.3,82.6,0.0,26.483248,81.12454,1.0866743
26.6,85.2,0.0,26.393625,84.85713,0.073694475
27.4,75.9,0.0,27.36417,76.667114,0.0
27.5,82.2,0.0,27.322826,81.436424,0.0
26.0,86.5,0.0,26.24415,85.88839,0.61112595
32.6,64.9,689.0,32.391426,65.47993,684.8136
28.7,74.8,594.0,28.666307,75.429596,589.0067
23.8,84.8,0.0,23.877737,85.23656,0.37037233
26.7,82.5,0.0,26.121666,84.00184,0.0
26.7,77.0,0.0,26.811188,77.72748,0.0041573048
28.2,77.2,0.0,28.397364,77.86721,0.0
25.7,86.4,0.0,25.993507,84.71867,0.0
26.4,85.3,0.0,26.489126,84.25456,0.073694475
28.3,81.5,0.0,28.491537,79.58079,0.0
25.5,85.4,0.0,25.577368,85.22648,0.0
26.4,82.4,0.0,26.105944,83.40037,0.0
26.9,77.4,0.0,26.61128,77.71797,0.32173577
28.2,77.8,0.0,28.341103,77.1563,1.2625335
30.5,72.4,504.0,30.580704,71.37503,330.1158
23.0,89.0,0.0,23.096079,88.48951,1.6091583
29.5,76.4,43.0,29.56569,74.81135,47.453342
28.1,81.9,0.0,28.150036,80.91786,0.0
26.0,83.6,0.0,25.80706,84.07183,0.0
25.3,88.7,0.0,24.907827,88.53974,0.0
25.2,88.9,0.0,25.03846,89.00024,0.0
29.1,74.3,292.0,29.045866,74.13795,257.5464
29.4,75.9,387.0,29.196232,77.01833,351.70544
24.4,89.7,0.0,24.450018,89.202644,0.01320865
26.3,83.2,0.0,26.173464,83.46836,0.29223242
25.8,83.8,45.0,25.888372,83.4972,44.610207
28.6,77.9,0.0,28.707067,76.880264,0.25283352
28.8,73.9,0.0,28.289536,77.13019,0.5908599
27.0,80.8,0.0,26.970074,80.50802,0.0
28.0,69.9,818.0,28.031271,69.06656,802.98987
31.6,71.4,563.0,31.890461,70.82264,547.7419
28.0,74.6,0.0,27.99225,74.40011,0.5467402
30.3,71.1,695.0,29.927082,72.39909,651.38336
31.6,64.5,768.0,31.80999,64.87132,751.5353
25.4,84.9,0.0,25.542326,85.28036,2.1121697
26.3,84.7,0.0,26.718975,82.98475,0.073694475
26.5,76.1,0.0,26.396801,75.88635,2.5006096
29.9,62.8,490.0,29.877934,62.682476,484.70425
26.8,82.4,36.0,26.998829,81.32901,39.851612
25.5,85.4,0.0,25.577368,85.22648,0.0
30.4,69.4,65.0,29.90426,71.0764,31.194338
27.5,80.7,0.0,27.89263,79.62065,0.27196643
26.2,83.3,0.0,26.12749,83.367195,0.0
29.3,75.8,455.0,29.646273,74.55742,364.31094
27.2,80.2,0.0,27.21693,80.5461,0.42787257
26.5,82.6,0.0,26.302906,83.02254,0.0028422922
29.9,72.1,682.0,29.593903,73.83158,613.0208
25.6,84.6,0.0,26.028223,83.61413,0.9561877
27.0,79.8,0.0,27.162039,79.6709,0.0
31.5,69.8,790.0,31.918753,69.03297,786.31
28.1,78.3,534.0,28.399529,77.865616,552.1836
29.6,73.5,636.0,29.097116,74.34722,624.3164
30.8,69.3,786.0,30.49649,70.34719,803.97253
25.9,72.8,610.0,25.881802,72.85137,605.85114
30.3,69.8,802.0,30.354158,69.588,811.847
23.5,87.9,0.0,23.630913,87.93308,0.16378555
23.8,88.9,128.0,23.37826,88.368546,136.77419
28.0,78.8,0.0,27.999174,78.23497,0.27196643
28.0,76.8,556.0,28.12402,76.01057,565.84705
27.7,81.1,0.0,27.742508,80.87362,33.376377
30.5,71.5,647.0,30.894455,70.263985,601.7261
28.1,80.9,0.0,28.188936,80.62997,0.0
29.2,70.3,455.0,29.611517,71.443634,516.9275
24.7,88.6,0.0,24.96279,88.12869,1.0518095
25.1,88.8,0.0,24.852428,89.135605,0.0
27.5,82.6,28.0,27.690405,81.68014,12.625107
25.2,86.7,0.0,25.242834,86.502556,0.0
26.2,88.2,79.0,26.15895,87.89749,101.89512
28.5,81.0,385.0,28.42557,80.61549,347.48492
32.9,65.4,790.0,32.74295,64.73206,723.08484
26.4,76.3,12.0,26.508379,76.589455,45.665714
29.7,75.8,49.0,30.115858,74.54572,63.07928
27.9,76.7,0.0,27.840477,77.27549,0.0
24.2,90.4,0.0,24.373207,90.6828,0.01320865
32.3,69.4,763.0,32.062664,68.80733,765.2858
23.8,91.8,33.0,23.994501,91.7466,28.91535
31.8,68.6,482.0,31.940191,68.065994,491.94708
29.0,75.0,0.0,28.781471,75.60395,0.5861391
32.0,68.4,607.0,32.012657,68.355515,583.0971
27.8,78.1,0.0,27.417562,80.222694,0.0
